,PV,nonCriticalLoad,criticalLoad
05/23/2015 1215,1013.6811503844427,4721.557,1455.699
05/23/2015 1230,1024.1916342876998,4696.828999999999,1437.834
05/23/2015 1245,1031.1549974563839,4713.917,1438.251
05/23/2015 1300,1035.2864156934677,4716.717,1440.4940000000001
05/23/2015 1315,1036.6130073969423,4704.242,1424.5610000000001
05/23/2015 1330,1034.357529018285,4670.862,1413.461
05/23/2015 1345,1028.982159063999,4653.628000000001,1419.608
05/23/2015 1400,1020.8613823315253,4643.308,1423.3939999999998
05/23/2015 1415,1009.3903268700448,4626.848,1422.125
05/23/2015 1430,993.8099613586949,4634.224,1406.0810000000001
05/23/2015 1445,973.581699547209,4628.983,1406.9789999999998
05/23/2015 1500,948.4434845221147,4637.585999999999,1410.488
05/23/2015 1515,918.3646650464424,4648.545,1418.9590000000003
05/23/2015 1530,883.4708085444131,4664.958,1420.2259999999999
05/23/2015 1545,843.9641818906827,4631.8859999999995,1411.719
05/23/2015 1600,800.0531320759634,4526.803000000001,1388.739
05/23/2015 1615,751.8997926601181,4538.483,1383.762
05/23/2015 1630,699.5941526132145,4529.8,1395.288
05/23/2015 1645,643.1617237894982,4541.8820000000005,1364.5410000000002
05/23/2015 1700,582.6109437121171,4570.958,1371.509
05/23/2015 1715,518.0247585126172,4591.116,1378.7890000000002
05/23/2015 1730,449.6980466961783,4608.851,1381.217
05/23/2015 1745,378.31739321301865,4632.548000000001,1384.732
05/23/2015 1800,305.17018714055854,4635.26,1383.475
05/23/2015 1815,232.35155168360015,4670.509,1384.644
05/23/2015 1830,162.90084255632067,4665.199,1386.0040000000001
05/23/2015 1845,100.72930492391173,4705.593,1382.866
05/23/2015 1900,50.0874846964183,4784.308,1421.221
05/23/2015 1915,14.256648870287124,4914.525,1455.02
05/23/2015 1930,-0.1,5025.406000000001,1492.2269999999999
05/23/2015 1945,-0.1,5171.826,1522.85
05/23/2015 2000,-0.1,5328.3189999999995,1550.9740000000002
05/23/2015 2015,-0.1,5429.685,1560.4740000000002
05/23/2015 2030,-0.1,5489.113,1574.846
05/23/2015 2045,-0.1,5502.152,1569.2330000000002
05/23/2015 2100,-0.1,5486.667,1556.828
05/23/2015 2115,-0.1,5465.410000000001,1542.908
05/23/2015 2130,-0.1,5410.437999999999,1523.337
05/23/2015 2145,-0.1,5330.225,1501.135
05/23/2015 2200,-0.1,5252.437999999999,1480.886
05/23/2015 2215,-0.1,5151.919,1446.23
05/23/2015 2230,-0.1,5041.1230000000005,1420.9360000000001
05/23/2015 2245,-0.1,4912.036,1386.5410000000002
05/23/2015 2300,-0.1,4759.313,1354.237
05/23/2015 2315,-0.1,4611.2390000000005,1313.6860000000001
05/23/2015 2330,-0.1,4445.058,1272.759
05/23/2015 2345,-0.1,4285.046,1233.6
05/24/2015 0000,-0.1,4076.526,1171.835
05/24/2015 0015,-0.1,3929.831,1142.8470000000002
05/24/2015 0030,-0.1,3788.4069999999997,1104.606
05/24/2015 0045,-0.1,3675.785,1082.004
05/24/2015 0100,-0.1,3555.685,1051.231
05/24/2015 0115,-0.1,3460.3039999999996,1014.788
05/24/2015 0130,-0.1,3377.974,996.943
05/24/2015 0145,-0.1,3308.853,976.5329999999999
05/24/2015 0200,-0.1,3233.938,953.0219999999999
05/24/2015 0215,-0.1,3179.4760000000006,944.7159999999999
05/24/2015 0230,-0.1,3123.4860000000003,922.616
05/24/2015 0245,-0.1,3081.243,904.345
05/24/2015 0300,-0.1,3029.7119999999995,893.858
05/24/2015 0315,-0.1,3002.4869999999996,879.6580000000001
05/24/2015 0330,-0.1,2988.711,880.923
05/24/2015 0345,-0.1,2948.7900000000004,870.95
05/24/2015 0400,-0.1,2927.468,867.387
05/24/2015 0415,-0.1,2911.015,860.5989999999999
05/24/2015 0430,-0.1,2904.5599999999995,856.711
05/24/2015 0445,-0.1,2892.8279999999995,852.677
05/24/2015 0500,-0.1,2906.917,850.037
05/24/2015 0515,-0.1,2921.5510000000004,853.152
05/24/2015 0530,-0.1,2945.5640000000003,860.6659999999999
05/24/2015 0545,-0.1,2968.4950000000003,857.3130000000001
05/24/2015 0600,-0.1,2998.279,865.894
05/24/2015 0615,-0.1,3044.8419999999996,865.307
05/24/2015 0630,12.873007940190412,3105.3190000000004,881.2080000000001
05/24/2015 0645,25.45834325685359,3160.1460000000006,895.507
05/24/2015 0700,37.03316556658446,3248.071,910.1510000000001
05/24/2015 0715,60.71882494160209,3353.0489999999995,942.616
05/24/2015 0730,98.71653366198392,3434.456,969.9970000000001
05/24/2015 0745,149.67393234659335,3536.9980000000005,1005.6840000000001
05/24/2015 0800,210.2976689767888,3637.96,1029.191
05/24/2015 0815,276.8463355557528,3788.35,1055.667
05/24/2015 0830,345.9787870346265,3888.505,1091.076
05/24/2015 0845,415.09986709064196,3971.336,1135.4189999999999
05/24/2015 0900,482.4075480371109,4065.182,1158.415
05/24/2015 0915,546.7886765352283,4124.1630000000005,1167.7089999999998
05/24/2015 0930,607.6531928586098,4178.314,1204.2269999999999
05/24/2015 0945,664.758283235331,4247.641,1224.209
05/24/2015 1000,718.050558264115,4293.094999999999,1240.3609999999999
05/24/2015 1015,767.5405897753725,4340.394,1257.478
05/24/2015 1030,813.215809069923,4391.616,1274.74
05/24/2015 1045,854.9925741782815,4389.326,1273.782
05/24/2015 1100,892.7050098020106,4391.386,1281.125
05/24/2015 1115,926.1260716365776,4431.771000000001,1288.163
05/24/2015 1130,955.0148029200494,4460.514,1297.3609999999999
05/24/2015 1145,979.1827152573221,4476.126,1315.222
05/24/2015 1200,998.5709312845298,4472.277,1320.268
05/24/2015 1215,1013.3269356379826,4505.87,1310.02
05/24/2015 1230,1023.8615811721113,4506.347,1310.414
05/24/2015 1245,1030.8389524926067,4491.344,1319.8110000000001
05/24/2015 1300,1034.9571585499905,4512.286,1321.701
05/24/2015 1315,1036.2630179315065,4531.412,1323.2399999999998
05/24/2015 1330,1034.0588619099967,4526.255,1337.35
05/24/2015 1345,1028.7488155545816,4518.644,1338.725
05/24/2015 1400,1020.66754467225,4532.784,1344.673
05/24/2015 1415,1009.2293538655099,4520.975,1335.337
05/24/2015 1430,993.689335869681,4520.11,1341.534
05/24/2015 1445,973.5142642351317,4535.017000000001,1341.0369999999998
05/24/2015 1500,948.4430152248008,4519.441,1346.255
05/24/2015 1515,918.444029995605,4529.656999999999,1338.5389999999998
05/24/2015 1530,883.6414748014672,4547.552,1339.6370000000002
05/24/2015 1545,844.2364459576772,4539.229,1352.0420000000001
05/24/2015 1600,800.4367154530316,4620.172,1375.42
05/24/2015 1615,752.4045344874374,4656.687,1367.9940000000001
05/24/2015 1630,700.2305486517423,4697.402,1358.1409999999998
05/24/2015 1645,643.9410458404549,4740.353999999999,1380.153
05/24/2015 1700,583.5446458135502,4779.502,1388.478
05/24/2015 1715,519.1228481730432,4809.649,1373.395
05/24/2015 1730,450.9660857547293,4812.308,1399.868
05/24/2015 1745,379.75182448086895,4824.981000000001,1406.416
05/24/2015 1800,306.751829690062,4837.943,1416.2350000000001
05/24/2015 1815,234.03753409897493,4849.791,1419.9450000000002
05/24/2015 1830,164.61631894791435,4853.575,1426.2930000000001
05/24/2015 1845,102.36273851949483,4874.27,1436.587
05/24/2015 1900,51.49782058146927,4927.215,1447.565
05/24/2015 1915,15.3040894214616,4967.892,1461.2559999999999
05/24/2015 1930,-0.1,5059.226,1498.327
05/24/2015 1945,-0.1,5209.967,1536.2240000000002
05/24/2015 2000,-0.1,5414.928,1585.471
05/24/2015 2015,-0.1,5558.4619999999995,1608.563
05/24/2015 2030,-0.1,5650.737999999999,1616.2060000000001
05/24/2015 2045,-0.1,5679.541000000001,1620.7559999999999
05/24/2015 2100,-0.1,5688.255,1621.6419999999998
05/24/2015 2115,-0.1,5661.978999999999,1599.019
05/24/2015 2130,-0.1,5577.704999999999,1561.757
05/24/2015 2145,-0.1,5511.608,1530.945
05/24/2015 2200,-0.1,5378.216,1494.1970000000001
05/24/2015 2215,-0.1,5231.905000000001,1460.417
05/24/2015 2230,-0.1,5080.654,1428.5610000000001
05/24/2015 2245,-0.1,4934.127,1380.915
05/24/2015 2300,-0.1,4758.568,1331.4109999999998
05/24/2015 2315,-0.1,4577.952,1294.257
05/24/2015 2330,-0.1,4424.476000000001,1243.5929999999998
05/24/2015 2345,-0.1,4270.41,1211.74
05/25/2015 0000,-0.1,3954.269,1153.989
05/25/2015 0015,-0.1,3805.0780000000004,1116.466
05/25/2015 0030,-0.1,3677.116,1090.278
05/25/2015 0045,-0.1,3555.636,1061.299
05/25/2015 0100,-0.1,3431.1629999999996,1039.774
05/25/2015 0115,-0.1,3337.747,1006.4970000000001
05/25/2015 0130,-0.1,3241.498,979.184
05/25/2015 0145,-0.1,3171.85,957.533
05/25/2015 0200,-0.1,3103.86,934.144
05/25/2015 0215,-0.1,3045.973,921.703
05/25/2015 0230,-0.1,3006.2840000000006,900.6869999999999
05/25/2015 0245,-0.1,2956.0009999999997,888.369
05/25/2015 0300,-0.1,2912.058,881.1
05/25/2015 0315,-0.1,2874.1620000000003,869.5060000000001
05/25/2015 0330,-0.1,2837.022,861.586
05/25/2015 0345,-0.1,2814.562,849.2260000000001
05/25/2015 0400,-0.1,2800.565,844.223
05/25/2015 0415,-0.1,2787.69,846.225
05/25/2015 0430,-0.1,2785.5950000000003,834.747
05/25/2015 0445,-0.1,2773.944,837.7839999999999
05/25/2015 0500,-0.1,2780.691,839.172
